Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
India,IND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.644102026,0.88982752,1.408315593,1.507820975,1.535560059,1.649327519,1.641198393,1.648359053,1.7191902,1.799825446,0.0,0.0
India,IND,Urban population,SP.URB.TOTL,223096279,292322757,391040056,400416922,409907903,419567353,429428650,439501314,449795398,460304169,471031529,481980332
India,IND,Population growth (annual %),SP.POP.GROW,2.076089204,1.76812551,1.288512962,1.231484894,1.182904215,1.145673402,1.116895913,1.090459321,1.06335943,1.037827848,1.013261249,0.9894138
India,IND,"Population, total",SP.POP.TOTL,873277799,1056575548,1250287939,1265780243,1280842119,1295600768,1310152392,1324517250,1338676779,1352642283,1366417756,1380004385
Pakistan,PAK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.567126621,0.691074356,0.772553017,0.767566767,0.758649973,0.786820566,0.820300353,0.886749485,0.950909547,0.981820105,0.0,0.0
Pakistan,PAK,Urban population,SP.URB.TOTL,32914427,46947761,64539406,66312147,68113708,69956302,71845554,73783786,75765181,77815624,79927762,82094635
Pakistan,PAK,Population growth (annual %),SP.POP.GROW,2.955562318,2.647399315,2.158796524,2.126222177,2.103244584,2.092456416,2.088551827,2.086326177,2.077578387,2.057546095,2.02296716,1.978319567
Pakistan,PAK,"Population, total",SP.POP.TOTL,107647918,142343583,183340168,187280125,191260799,195305012,199426953,203631356,207906210,212228288,216565317,220892331
United Arab Emirates,ARE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,30.29910246,26.97453501,18.5899326,19.22311613,20.0154209,19.95185248,20.94809226,21.30760952,21.95061433,20.7974984,0.0,0.0
United Arab Emirates,ARE,Urban population,SP.URB.TOTL,1445398,2514650,7553138,7747413,7824292,7866608,7935894,8047162,8182525,8332904,8479742,8609395
United Arab Emirates,ARE,Population growth (annual %),SP.POP.GROW,5.784264577,5.510750099,4.536241844,2.15417386,0.614086082,0.176775198,0.527292388,1.053270899,1.339470237,1.503937821,1.438677058,1.219428682
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,1828437,3134067,8946778,9141598,9197908,9214182,9262896,9360975,9487206,9630966,9770526,9890400
United States,USA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,19.40922912,20.4719331,16.59940374,15.77114462,16.10295784,16.02637907,15.53534211,15.13174682,14.80588242,15.24087458,0.0,0.0
United States,USA,Urban population,SP.URB.TOTL,187966119,223069137,252208133,254614421,256953576,259430732,261950744,264473000,266788716,268844029,270737596,272364755
United States,USA,Population growth (annual %),SP.POP.GROW,1.12965052,1.112768997,0.726786705,0.733599941,0.692860277,0.73336152,0.736217309,0.724676067,0.632643995,0.526435396,0.455381286,0.350911063
United States,USA,"Population, total",SP.POP.TOTL,249623000,282162411,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,329484123
United Kingdom,GBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,9.724252827,9.001483618,7.025424601,7.332471327,7.064902559,6.421598191,6.148544958,5.774741668,5.546265944,5.398708138,0.0,0.0
United Kingdom,GBR,Urban population,SP.URB.TOTL,44733264,46319551,51600211,52130345,52650595,53209683,53802927,54382825,54923317,55426598,55909924,56395647
United Kingdom,GBR,Population growth (annual %),SP.POP.GROW,0.298930554,0.357300887,0.781506562,0.695353132,0.669740536,0.736463979,0.792367506,0.757874493,0.679374474,0.605929132,0.564131113,0.565404595
United Kingdom,GBR,"Population, total",SP.POP.TOTL,57247586,58892514,63258810,63700215,64128273,64602298,65116219,65611593,66058859,66460344,66836327,67215293
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.914542564,2.648479977,6.898147632,7.039787622,7.289017341,7.212791393,7.124222747,7.071898486,7.174947984,7.352262682,0.0,0.0
China,CHN,Urban population,SP.URB.TOTL,300165618,452999147,679390629,700996454,722694421,744357517,765822300,787376534,809246214,829760595,848982855,866705688
China,CHN,Population growth (annual %),SP.POP.GROW,1.467303211,0.787956593,0.546457595,0.678345459,0.666072978,0.63032639,0.581456147,0.573050906,0.605245013,0.467672053,0.35474089,0.225947587
China,CHN,"Population, total",SP.POP.TOTL,1135185000,1262645000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1410929362
Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,10.13044504,9.871496377,7.735291816,6.833498701,7.120299943,6.336521381,5.911867775,6.176665194,5.78145978,5.761494164,0.0,0.0
Denmark,DNK,Urban population,SP.URB.TOTL,4361727,4544013,4844002,4872608,4901386,4932961,4974525,5020143,5059173,5091100,5116342,5138400
Denmark,DNK,Population growth (annual %),SP.POP.GROW,0.16245632,0.334233619,0.411737855,0.376272243,0.416901361,0.507053283,0.70642385,0.780392644,0.643350904,0.495838926,0.358130916,0.291641177
Denmark,DNK,"Population, total",SP.POP.TOTL,5140939,5339616,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404
France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.122359687,6.12747794,5.104312275,5.12231119,5.10055617,4.592376829,4.666086597,4.686612202,4.727575622,4.619241205,0.0,0.0
France,FRA,Urban population,SP.URB.TOTL,43127042,46214923,51373808,51791148,52228059,52647802,53009026,53323902,53654868,53979477,54275936,54570334
France,FRA,Population growth (annual %),SP.POP.GROW,0.508741657,0.684945784,0.483675544,0.483998961,0.514773829,0.473706908,0.35556924,0.263868789,0.290202116,0.274451849,0.218824149,0.211906588
France,FRA,"Population, total",SP.POP.TOTL,58235716,60912500,65342789,65659814,65998685,66312067,66548272,66724104,66918020,67101930,67248926,67391582
Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,12.02660923,10.09688327,9.29779082,9.449949925,9.642558947,9.10678233,9.087290939,9.073006389,8.858293699,8.558389812,0.0,0.0
Germany,DEU,Urban population,SP.URB.TOTL,58079842,61629857,61940177,62064608,62242278,62510392,63062064,63592936,63861626,64096118,64294010,64472284
Germany,DEU,Population growth (annual %),SP.POP.GROW,0.861969449,0.1354316,-1.853714629,0.187727801,0.272900215,0.416877359,0.865702644,0.807218539,0.37372456,0.300526702,0.225519874,0.177430344
Germany,DEU,"Population, total",SP.POP.TOTL,79433029,82211508,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83240525
Guatemala,GTM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.434248626,0.81278639,0.808455592,0.821948835,0.864797689,0.911388475,1.049628073,1.103130021,1.026267857,1.113969273,0.0,0.0
Guatemala,GTM,Urban population,SP.URB.TOTL,3800324,5253870,7072123,7243152,7418337,7597137,7779195,7964335,8153103,8345772,8540945,8738685
Guatemala,GTM,Population growth (annual %),SP.POP.GROW,2.734472527,2.433943645,1.819487756,1.777495787,1.757167698,1.728757603,1.691465093,1.658073318,1.6276538,1.600385982,1.560386048,1.519987854
Guatemala,GTM,"Population, total",SP.POP.TOTL,9050115,11589761,14521515,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16858333
Mexico,MEX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.189063644,3.887569288,4.157120485,4.099027581,3.954146576,3.808063465,3.87819451,3.885809372,3.781215828,3.741477725,0.0,0.0
Mexico,MEX,Urban population,SP.URB.TOTL,59951348,73899942,90370887,91948802,93515785,95072133,96615314,98145003,99655907,101149483,102626859,104088701
Mexico,MEX,Population growth (annual %),SP.POP.GROW,1.893130261,1.441096704,1.39478997,1.355294426,1.315557607,1.277686366,1.241164502,1.203259506,1.16396695,1.126414791,1.091366887,1.058240034
Mexico,MEX,"Population, total",SP.POP.TOTL,83943135,98899845,115695468,117274156,118827158,120355137,121858251,123333379,124777326,126190782,127575529,128932753
Jamaica,JAM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.086903142,3.78950826,2.68937823,2.501646653,2.651545627,2.573790397,2.521597884,2.666674007,2.461613887,2.899634155,0.0,0.0
Jamaica,JAM,Urban population,SP.URB.TOTL,1196496,1375505,1524025,1538501,1553709,1569365,1585235,1601281,1617507,1633950,1650593,1667459
Jamaica,JAM,Population growth (annual %),SP.POP.GROW,0.681560016,0.832970135,0.548862742,0.571484567,0.581740676,0.572985116,0.551043934,0.525007304,0.501314742,0.478338177,0.456356507,0.436048924
Jamaica,JAM,"Population, total",SP.POP.TOTL,2419901,2654698,2825932,2842128,2858710,2875137,2891024,2906242,2920848,2934853,2948277,2961161
